card_id,l2_id,l2_name,l3_id,l3_name,label,definition,justification_count,reference_link_count,meta_text
PHYSBENCH-REF-0017,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),LLM Agent 탈옥 (Embodied LLM contextual jailbreak),공격자가 피지컬 작업 맥락으로 프레임을 구성하여 embodied LLM 에이전트가 안전 제한을 우회하고 악의적 피지컬 행동을 수용하도록 유도하는 위험. (An attacker frames a physical task context so an embodied LLM agent bypasses safety restrictions and accepts malicious physical action instructions.),3,3,심각도 4.20 확률 0.55 BadRobot: Jailbreaking Embodied LLM Agents in the …
PHYSBENCH-REF-0018,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),언어-행동 안전 정렬 실패 (Linguistic-action safety misalignment),피지컬하게 유해한 지시를 언어적으로 재구성하여 모델이 비안전한 피지컬 세계 행동을 무해한 작업으로 처리하도록 유도하는 위험. (A physically harmful instruction is linguistically reframed so the model treats unsafe real-world action as benign or task-compliant.),1,1,심각도 4.00 확률 0.58 BadRobot: Jailbreaking Embodied LLM Agents in the …
PHYSBENCH-REF-0019,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),물리적 행동 기만 (Conceptual deception in physical action),"공격자가 간접 개념·대체 표현·완곡어법을 사용하여 로봇 또는 embodied 에이전트가 유해한 피지컬 행동을 수행하도록 유도하는 위험. (The attacker uses indirect concepts, substitutions, or euphemisms to induce a robot or embodied agent to perform a harmful physical action.)",1,1,심각도 4.10 확률 0.52 BadRobot: Jailbreaking Embodied LLM Agents in the …
PHYSBENCH-REF-0020,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),악의적 행동 요청 (Malicious physical action query execution),"embodied LLM 에이전트가 피지컬 위해·프라이버시 침해·파괴·사기 등을 요청하는 사용자 쿼리를 수용하고 실행하는 위험. (An embodied LLM agent accepts and executes a user query that requests physical harm, privacy violation, sabotage, fraud, illegal activity, or hateful conduct.)",1,1,심각도 4.50 확률 0.45 BadRobot: Jailbreaking Embodied LLM Agents in the …
PHYSBENCH-REF-0022,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),피지컬 AI 파괴 행위 (Embodied sabotage),"피지컬 AI 시스템이 장비·인프라 또는 다른 피지컬 시스템을 손상·무력화·방해·변조하도록 유도되는 위험. (A physical AI system is induced to damage, disable, obstruct, or tamper with equipment, infrastructure, or other physical assets.)",1,1,심각도 4.40 확률 0.38 BadRobot: Jailbreaking Embodied LLM Agents in the …
PHYSBENCH-REF-0023,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),사기·불법 실행 및 지원 (Embodied fraud or illegal-action execution),"embodied 에이전트가 사기·절도·침입·탈세 등 불법 물리 행위를 수행하거나 실질적으로 지원하는 위험. (An embodied agent carries out or materially assists fraud, theft, trespass, evasion, or other illegal physical-world actions.)",1,1,심각도 4.00 확률 0.40 BadRobot: Jailbreaking Embodied LLM Agents in the …
PHYSBENCH-REF-0024,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),피지컬 AI의 혐오·학대 행동 (Hateful or abusive embodied action),"피지컬 AI 시스템이 사람들을 향한 차별적·괴롭힘·위협·학대적 행동을 수행하도록 유도되는 위험. (A physical AI system is directed to perform discriminatory, harassing, intimidating, or abusive actions toward people in shared environments.)",1,1,심각도 3.80 확률 0.40 BadRobot: Jailbreaking Embodied LLM Agents in the …
PHYSBENCH-REF-0031,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),영상-행동 공격 안전 위반 (Safety violation under video-action attack),"공격자가 인지-행동 시퀀스를 조작하여 로봇 에이전트가 중대·위험·치명적 안전 규칙을 위반하게 하는 위험. (An attacker manipulates perception-action sequences so a robotic agent violates critical, dangerous, or risky safety rules.)",0,0,심각도 4.20 확률 0.40
PHYSBENCH-REF-0044,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),언어 명령 기반 로봇 정책 공격 (Language-instruction attack on robot policy),"악의적 언어 지시·접미사·프롬프트가 의도된 로봇 정책을 변경하여 비안전 피지컬 행동을 유발하는 위험. (Malicious language instructions, suffixes, or prompts alter the intended robot policy and induce unsafe physical behavior.)",1,1,심각도 4.00 확률 0.50 A Comprehensive Survey on Physical Risk Control in…
PHYSBENCH-REF-0049,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),명시적 위험 명령 거부 실패 (Explicit hazard non-rejection),embodied 에이전트가 명확히 진술된 피지컬 위험 지시를 거부하지 못하고 비안전 작업 실행 방향으로 나아가는 실패. (An embodied agent fails to reject a clearly stated physical hazard instruction and proceeds toward unsafe task execution.),2,2,심각도 4.10 확률 0.50 SafeAgentBench: A Benchmark for Safe Task Planning…
PHYSBENCH-REF-0095,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),헌법적 안전 조향 실패 (Constitutional safety steering failure),"헌법적 조향 메커니즘이 지시·맥락·모달리티가 안전 원칙에 도전할 때 로봇 행동을 정렬하지 못하는 실패. (A constitutional steering mechanism fails to align robot behavior with safety principles when instructions, context, or visual scenes imply physical danger.)",2,2,심각도 4.00 확률 0.42 Generating Robot Constitutions and Benchmarks for …
PHYSBENCH-REF-0097,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),페르소나 제약 실패 (Embodiment-persona constraint failure),"휴머노이드 로봇 등 구현체 페르소나 하에서 작동하는 모델이 해당 역할을 올바른 피지컬 제약으로 변환하지 못하는 실패. (A model acting under an embodiment persona such as a humanoid robot fails to translate that role into correct physical constraints, refusals, or safe alternatives.)",1,1,심각도 3.90 확률 0.48 Generating Robot Constitutions and Benchmarks for …
PHYSRISK-REF-0028,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),프롬프트→행동 주입 공격 (Prompt-to-act injection),"언어 매개 로봇 또는 에이전트가 악의적 지시·표지·QR코드·음성 명령·문서를 안전 위반 피지컬 행동으로 변환하는 위험. (A language-mediated robot or agent may convert malicious instructions, signs, QR codes, voice commands, or documents into unsafe physical actions.)",2,2,심각도 4.60 확률 0.15 MITRE ATLAS
PHYSRISK-REF-0043,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),조작·이동 능력 공격 전용화 (Manipulation/mobility repurposed for attack),"조작 및 이동 기능이 타격·투척·돌진 공격에 전용되는 위험. (A robot’s manipulation or mobility capabilities are repurposed to physically attack people, property, or infrastructure.)",2,2,심각도 4.60 확률 0.20 Open letter on the weaponization of general-purpos…
PHYSRISK-REF-0045,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),물리적 침입 및 절도 (Autonomous physical intrusion and theft),자율적 침입·잠금 우회·보안 공간 내 정찰 위험. (An autonomous robot enters restricted spaces or takes physical objects without authorization.),2,1,심각도 4.00 확률 0.20 Embodied-platform physical security threat assessm…
PHYSRISK-REF-0046,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),표적 추적 및 물리적 괴롭힘 (Targeted following and physical harassment),"특정 개인을 향한 표적 추적·위협·괴롭힘 자동화 위험. (A robot follows, blocks, or approaches a targeted person in a harassing physical manner.)",1,0,"심각도 3.90 확률 0.20 Hate Crimes in Cyberspace (Citron, 2014), embodied…"
PHYSRISK-REF-0030,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),로봇의 무기화 오남용 (Robot-as-weapon misuse),"이동·항공·휴머노이드·조작기 시스템이 감시·위협·파괴 또는 직접적인 피지컬 해악을 위해 전용되는 위험. (Mobile, aerial, humanoid, or manipulator systems may be repurposed for surveillance, intimidation, sabotage, or physical attack.)",2,2,심각도 4.90 확률 0.07 MIT AI Risk Repository; BadRobot: Jailbreaking Emb…
PHYSBENCH-REF-0003,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),물리적 위험 개입 실패 (Physical danger intervention failure),시스템이 위험 상황을 인식하고도 적시에 적절한 개입 또는 거부 응답을 생성하지 못하는 실패. (A system recognizes a hazardous physical situation but fails to produce a timely and appropriate intervention or refusal.),1,1,심각도 4.30 확률 0.45 ASIMOV-2.0: Can AI Perceive Physical Danger and In…
PHYSBENCH-REF-0007,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),물리적 상식 위반 (Commonsense physicality violation),"모델이 물체 지지·안정성·포함 관계 등 기본적인 피지컬 상식을 위반하는 행동을 제안하거나 실행하는 실패. (A model proposes or executes an action that violates basic physical commonsense about object support, stability, containment, or gravity.)",1,1,심각도 3.40 확률 0.62 ASIMOV-2.0: Can AI Perceive Physical Danger and In…
PHYSBENCH-REF-0012,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),복합 물리적 제약 위반 (Compositional physical constraint violation),개별적으로는 유효한 행동들이 피지컬 제약 간 의존성 미모델링으로 결합 시 비안전 계획을 생성하는 실패. (Individually valid actions are combined into an unsafe plan because dependencies among physical constraints are not modeled.),2,2,심각도 3.60 확률 0.50 ASIMOV-2.0: Can AI Perceive Physical Danger and In… BeSafe-Bench: Unveiling Behavioral Safety Risks of Situated Agents…
PHYSBENCH-REF-0032,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),안전 강화학습 제약 위반 (Safe reinforcement learning constraint violation),강화학습 정책이 비용으로 표현된 명시적 안전 제약을 위반하면서 과제 보상을 달성하는 실패. (A reinforcement learning policy achieves task reward while violating explicit safety constraints represented as costs or limits.),5,5,심각도 3.90 확률 0.60 Safety-Gymnasium: A Unified Safe Reinforcement Lea…
PHYSBENCH-REF-0035,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),제약 비용 과소평가 (Constraint-cost underestimation),"정책 또는 평가자가 누적 안전 비용을 과소평가하여 외견상 안전한 행동이 시간 경과에 따라 제약을 위반하는 실패. (A policy or evaluator underestimates cumulative safety costs, making apparently safe behavior violate constraints over time.)",1,1,심각도 3.50 확률 0.55 Safety-Gymnasium: A Unified Safe Reinforcement Lea…
PHYSBENCH-REF-0039,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),물리적 상호작용 안전 공백 (Physical interaction safety control gap),리스크 제어가 기반 모델 탑재 로봇과 인간 간 직접 피지컬 상호작용을 불충분하게 다루는 위험. (Risk controls insufficiently cover direct physical interaction between humans and foundation-model-enabled robots.),1,1,심각도 4.20 확률 0.42 A Comprehensive Survey on Physical Risk Control in…
PHYSBENCH-REF-0045,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),제약 모니터링 실패 (Constraint monitoring failure),"런타임 모니터가 속도·힘·작업 공간·충돌·물체 사용·작업 완료를 지배하는 제약을 감지하거나 집행하지 못하는 실패. (Runtime monitors fail to detect or enforce constraints governing speed, force, workspace, collision, object use, or task protocol.)",5,5,심각도 4.00 확률 0.45 A Comprehensive Survey on Physical Risk Control in… VLSA: Vision-Language-Action Models with Plug-and-…
PHYSBENCH-REF-0048,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),위험 작업 계획 실패 (Hazardous task planning failure),"embodied LLM 에이전트가 피지컬 위험을 포함한 작업에 대한 계획을 생성하거나 승인하는 실패. (An embodied LLM agent generates or approves a plan for a task that contains physical hazards despite being expected to refuse, revise, or add safety constraints.)",4,4,심각도 4.00 확률 0.55 SafeAgentBench: A Benchmark for Safe Task Planning… BeSafe-Bench: Unveiling Behavioral Safety Risks of Situated Agents…
PHYSBENCH-REF-0050,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),암묵적 위험 명령 거부 실패 (Implicit hazard non-rejection),embodied 에이전트가 일반적인 작업 지시에 숨겨진 암묵적 물리 위험을 추론하고 거부하지 못하는 실패. (An embodied agent fails to infer and reject an implicit physical hazard hidden in otherwise ordinary task instructions.),2,2,심각도 4.00 확률 0.52 SafeAgentBench: A Benchmark for Safe Task Planning…
PHYSBENCH-REF-0052,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),피지컬 AI 안전 인식 실패 (Embodied safety awareness failure),embodied 에이전트가 언어 목표를 실행 가능한 피지컬 행동으로 변환할 때 강건한 안전 인식을 결여하는 실패. (An embodied agent lacks robust safety awareness when converting language goals into executable physical actions.),2,2,심각도 3.80 확률 0.55 SafeAgentBench: A Benchmark for Safe Task Planning… BeSafe-Bench: Unveiling Behavioral Safety Risks of Situated Agents…
PHYSBENCH-REF-0054,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),안전-성능 균형 실패 (Safety-performance trade-off failure),조작 정책이 충돌 회피 또는 명시적 안전 제약을 희생하면서 작업 완료율을 향상시키는 실패. (A manipulation policy improves task completion while sacrificing collision avoidance or other explicit safety constraints.),4,4,심각도 3.80 확률 0.50 VLSA: Vision-Language-Action Models with Plug-and-… BeSafe-Bench: Unveiling Behavioral Safety Risks of Situated Agents…
PHYSBENCH-REF-0057,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),구현체 간 행동 공간 불일치 (Cross-embodiment action-space mismatch),다양한 로봇 구현체에 걸쳐 훈련된 정책이 특정 구현체에 비안전하거나 실행 불가능한 행동에 명령을 매핑하는 실패. (A policy trained across different robot embodiments maps commands into actions that are unsafe or infeasible for a specific robot action space.),1,1,심각도 3.80 확률 0.50 Open X-Embodiment: Robotic Learning Datasets and R…
PHYSBENCH-REF-0058,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),로봇 형태 전이 리스크 (Robot morphology transfer risk),"한 로봇 형태에서 학습된 기술이 다른 형태로 불량하게 전이되어 비안전한 도달·힘·파지·내비게이션을 생성하는 위험. (Skills learned on one robot morphology transfer poorly to another morphology, producing unsafe reach, force, grasp, or navigation behavior.)",1,1,심각도 3.80 확률 0.48 Open X-Embodiment: Robotic Learning Datasets and R…
PHYSBENCH-REF-0064,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),인간 시연 전이 모호성 (Human demonstration transfer ambiguity),인간 시연 데이터의 모호성이 로봇으로 하여금 잠재적 안전 제약을 이해하지 못한 채 행동을 재현하게 하는 위험. (Ambiguities in human demonstration data cause a robot to reproduce actions without understanding latent safety constraints or context-specific limits.),1,1,심각도 3.40 확률 0.50 RH20T: A Comprehensive Robotic Dataset for Learnin…
PHYSBENCH-REF-0070,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),휴머노이드 보상 과적합 위험 (Humanoid reward overfitting risk),휴머노이드 컨트롤러가 벤치마크 보상 또는 모방 목적에 과적합하여 배포 환경 밖에서 외견상 자연스럽지만 비안전한 행동을 생성하는 위험. (A humanoid controller overfits to benchmark rewards or imitation objectives and produces lifelike but unsafe behavior outside the evaluation setting.),2,2,심각도 3.50 확률 0.50 Self-Imitative Reinforcement Learning for Reproduc…
PHYSBENCH-REF-0071,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),휴머노이드 행동 재현성 공백 (Humanoid behavior reproducibility gap),"휴머노이드 행동 정책이 시뮬레이션 훈련·평가 환경에서는 안정적으로 보이지만 다른 환경이나 피지컬 세계에서 신뢰성 있게 재현되지 않는 위험. (A humanoid behavior policy appears stable in one simulated training or evaluation setting but cannot be reliably reproduced across seeds, simulators, or deployment contexts.)",2,2,심각도 3.20 확률 0.55 Self-Imitative Reinforcement Learning for Reproduc…
PHYSBENCH-REF-0076,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),인간 모방 분포 이동 (Human-mimicking distribution shift),"인간-장면 상호작용을 모방하도록 훈련된 휴머노이드가 물체 형상·장면 배치·상호작용 맥락이 달라질 때 실패하는 위험. (A humanoid trained to mimic human-scene interaction fails when object geometry, scene layout, or interaction context differs from the demonstrations.)",2,2,심각도 3.70 확률 0.52 Mimicking-Bench: A Benchmark for Generalizable Hum…
PHYSBENCH-REF-0077,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),모션 리타겟팅 안전 실패 (Motion-retargeting safety failure),"인간 동작이 로봇의 피지컬 한계·접촉 제약·안전 요건을 위반하는 방식으로 휴머노이드 몸체에 리타겟팅되는 실패. (Human motion is retargeted to a humanoid body in a way that violates the robot's physical limits, contact constraints, or safe posture requirements.)",3,3,심각도 3.90 확률 0.45 Mimicking-Bench: A Benchmark for Generalizable Hum…
PHYSBENCH-REF-0081,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),휴머노이드 제로샷 전이 불안정성 (Zero-shot humanoid sim-to-real instability),"시뮬레이션에서 직접 하드웨어로 전이된 휴머노이드 이동 컨트롤러가 시뮬-피지컬 세계 간 물리 모델 오차로 불안정해지는 위험. (A humanoid locomotion controller transferred directly from simulation to hardware becomes unstable because simulated dynamics do not match real-world contacts, compliance, or disturbances.)",2,2,심각도 4.30 확률 0.45 Humanoid-Gym: Reinforcement Learning for Humanoid …
PHYSBENCH-REF-0090,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),장기 예측 누적 오차 (Long-horizon rollout drift),"휴머노이드 세계 모델의 오차가 미래 예측 지평선에 걸쳐 복합되어 계획이 실제 물리 동역학에서 벗어나게 하는 위험. (Errors in a humanoid world model compound over future prediction horizons, causing plans to diverge from real physical dynamics or hazards.)",2,2,심각도 3.90 확률 0.48 Generative World Modelling for Humanoids: 1X World…
PHYSRISK-REF-0019,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),장기 계획 오차 누적 (Long-horizon error accumulation),"소규모 인지·예측·제어 오차가 긴 작업 시퀀스에 걸쳐 복합되어 최종 피지컬 행동이 안전 경계를 초과하는 위험. (Small perception, prediction, or control errors may compound across long task sequences until the final physical behavior becomes unsafe.)",2,2,심각도 3.70 확률 0.60 A Survey of Embodied AI: From Simulators to Resear… BeSafe-Bench: Unveiling Behavioral Safety Risks of Situated Agents…
PHYSBENCH-REF-0040,P2,Physical Safety,P3.2,우발적 피해(Accidental Harm),기반 모델 고유의 리스크 (Foundation-model-specific robot risk),"로봇 시스템이 환각·지시 따르기 실패·탈옥 등 기반 모델 고유 행동을 피지컬 결과로 상속하는 위험. (Robotics systems inherit foundation-model behaviors such as hallucination, instruction following failure, and jailbreak susceptibility in safety-critical physical contexts.)",1,1,심각도 4.10 확률 0.50 A Comprehensive Survey on Physical Risk Control in…
PHYSBENCH-REF-0005,P2,Physical Safety,P3.3,로봇 제어 실패(Robot Control Failures),그리퍼 형상·유형 제약 위반 (Gripper geometry and type constraint violation),"피지컬 에이전트가 그리퍼 형상, 유형, 또는 실행 가능한 접촉 범위 제약을 위반하는 행동을 선택하는 실패. (A physical agent selects an action that violates constraints imposed by gripper geometry, gripper type, or feasible contact mechanics.)",2,2,심각도 3.70 확률 0.60 ASIMOV-2.0: Can AI Perceive Physical Danger and In…
PHYSBENCH-REF-0006,P2,Physical Safety,P3.3,로봇 제어 실패(Robot Control Failures),재료 특성 제약 위반 (Material property constraint violation),"로봇 또는 embodied 모델이 취성·탄성·날카로움·독성·열전달 등 재료 특성을 무시하는 실패. (A robot or embodied model ignores material properties such as fragility, elasticity, sharpness, toxicity, or heat transfer when planning physical actions.)",1,1,심각도 3.60 확률 0.58 ASIMOV-2.0: Can AI Perceive Physical Danger and In…
PHYSBENCH-REF-0008,P2,Physical Safety,P3.3,로봇 제어 실패(Robot Control Failures),열·온도 제약 위반 (Thermal constraint violation),"피지컬 시스템이 물체 취급 또는 인간 근접 작업 중 열·화상·방사선·온도 제약을 무시하는 실패. (A physical system ignores heat, burn, radiation, or temperature constraints in object handling or human-proximate operation.)",1,1,심각도 4.00 확률 0.42 ASIMOV-2.0: Can AI Perceive Physical Danger and In…
PHYSBENCH-REF-0009,P2,Physical Safety,P3.3,로봇 제어 실패(Robot Control Failures),기구학·도달 범위 제약 위반 (Kinematics and reach constraint violation),"시스템이 실행 가능한 도달 범위, 관절 한계, 기구학적 제약 밖의 동작을 계획하여 충돌 또는 작업 실패 위험을 높이는 실패. (A system plans a movement outside feasible reach, joint limits, or kinematic constraints, increasing collision or task-failure risk.)",1,1,심각도 3.50 확률 0.50 ASIMOV-2.0: Can AI Perceive Physical Danger and In…
PHYSBENCH-REF-0010,P2,Physical Safety,P3.3,로봇 제어 실패(Robot Control Failures),다중 암 협조 제약 위반 (Multi-arm coordination constraint violation),여러 로봇 암 또는 엔드이펙터가 협조 제약 미표현으로 서로 또는 인간과 간섭하는 실패. (Multiple robot arms or effectors interfere with one another or with humans because coordination constraints are not represented correctly.),1,1,심각도 3.80 확률 0.42 ASIMOV-2.0: Can AI Perceive Physical Danger and In…
PHYSBENCH-REF-0011,P2,Physical Safety,P3.3,로봇 제어 실패(Robot Control Failures),운용 프로토콜 위반 (Operational protocol violation),"피지컬 AI 시스템이 절차적 제약, 안전 체크리스트, 필수 운용 프로토콜을 위반하는 실패. (A physical AI system violates procedural constraints, safety checklists, or required operating protocols for a task or site.)",1,1,심각도 3.50 확률 0.52 ASIMOV-2.0: Can AI Perceive Physical Danger and In…
